code,name,udm,sell_price
2697,GRISI JABON NEUTRO 100G,PIEZA,45.49
12892,TOALLA FEMENINA NATURELLA NOC 10/PZ,BOLSA C/10,69.6
12893,TOALLA FEMENINA NATURELLA F 10 PZ,BOLSA C/10,57.22
18794,DERMASYN/AG,TUBO,750
100004,UNOKAVI 2mg ENV/5amp 0.2ml,AMPOLLETA,102.96
100004,UNOKAVI 2mg ENV/5amp 0.2ml,CAJA C/5,143.04
100009,INNEFOL 50MG/4ML C/1 VIAL,AMPOLLETA,243.8
100009,INNEFOL 50MG/4ML C/1 VIAL,AMPOLLETA,243.8
100027,5099 PISDENO 6MG S.I. FCO. 2ML 1X6,FRASCO,"2,369.83"
100027,5099 PISDENO 6MG S.I. FCO. 2ML 1X6,FRASCO,"2,369.83"
100050,CLINDAMICINA AI 600MG ANT,PIEZA,125.86
100050,CLINDAMICINA AI 600MG ANT,PIEZA,125.86
100052,DEXAMETASONA AI 8MG/2ML,PIEZA,85.54
100052,DEXAMETASONA AI 8MG/2ML,PIEZA,85.54
100061,A.M KETOROLACO T 6 30MG SUBLIN,TABLETA,15
100061,A.M KETOROLACO T 6 30MG SUBLIN,CAJA C/6,90
100064,A.M METOCLOPRAMIDA A 6 10MG/2M,PIEZA,48.09
100064,A.M METOCLOPRAMIDA A 6 10MG/2M,CAJA C/6,192.5
100067,RANITIDINA 50MG/2ML CAJA C/5 AMP,PIEZA,23.71
100067,RANITIDINA 50MG/2ML CAJA C/5 AMP,CAJA C/5,118.57
100096,ACANOL 2MG CPR 12,COMPRIMIDO,35
100096,ACANOL 2MG CPR 12,CAJA C/12,210.01
100101,ACC 100MG/5ML SUSP 150 ML,SUSPENSION,5.09
100101,ACC 100MG/5ML SUSP 150 ML,CAJA C/150,191.06
100102,ACC 200 MG TAB EFERV 20,TABLETA,55.95
100102,ACC 200 MG TAB EFERV 20,CAJA C/20,279.71
100126,ACELER-CO 2%-0.1% 15G TUBO(ACIDO FUSIDICO BETAMETASONA),TUBO,313.24
100126,ACELER-CO 2%-0.1% 15G TUBO(ACIDO FUSIDICO BETAMETASONA),TUBO,313.24
100130,ACETIF 500 MG TAB 10            GOB,TABLETA,1.56
100130,ACETIF 500 MG TAB 10            GOB,CAJA C/10,15.6
100176,ACIDO-FOLICO 5 MG TAB 20,TABLETA,3.77
100176,ACIDO-FOLICO 5 MG TAB 20,CAJA C/20,75.39
100177,ACIDO-FOLICO 5 MG TAB 50,TABLETA,2.77
100177,ACIDO-FOLICO 5 MG TAB 50,CAJA C/50,92.47
100201,ACOMEXOL CRA TB 30 G,TUBO,181.81
100201,ACOMEXOL CRA TB 30 G,TUBO,181.81
100212,ACTINIUM 300MG CAJA C/20 TABS (OXCARBAZEPINA),TABLETA,70.84
100212,ACTINIUM 300MG CAJA C/20 TABS (OXCARBAZEPINA),CAJA C/20,531.74
100219,ACTONEL 35 MG GRAG 4,GRAGEA,6.46
100219,ACTONEL 35 MG GRAG 4,CAJA C/4,25.83
100222,ACTRON INF 100MG/5ML SUSP 120 ML,SUSPENSION,144.52
100222,ACTRON INF 100MG/5ML SUSP 120 ML,SUSPENSION,144.52
100223,ACTRON-200 200 MG CAPS 10,CAPSULA,28.05
100223,ACTRON-200 200 MG CAPS 10,CAJA C/10,187.12
100224,ACTRON-400 400 MG CAPS 10,CAPSULA,43.83
100224,ACTRON-400 400 MG CAPS 10,CAJA C/10,219.46
100225,ACTRON-400 400 MG CAPS 30,CAPSULA,38.47
100225,ACTRON-400 400 MG CAPS 30,CAJA C/30,288.97
100226,ACTRON-600 600 MG CAPS 10    509,CAPSULA,46.14
100226,ACTRON-600 600 MG CAPS 10    509,CAJA C/10,230.71
100227,ACTRON-600 600 MG CAPS 30,CAPSULA,39.6
100227,ACTRON-600 600 MG CAPS 30,CAJA C/30,297.48
100228,ACTRON-PLUS 400/100 MG CAPS 10,CAPSULA,45.41
100228,ACTRON-PLUS 400/100 MG CAPS 10,CAJA C/10,227.05
100242,ADAFERIN GEL 0.3% TB 45 GR,TUBO,556.04
100242,ADAFERIN GEL 0.3% TB 45 GR,TUBO,556.04
100244,ADALAT 10 MG CAPS 24,CAPSULA,32.87
100244,ADALAT 10 MG CAPS 24,CAJA C/24,197.52
100245,ADALAT 10 MG CAPS 30             N,CAPSULA,59.89
100245,ADALAT 10 MG CAPS 30             N,CAJA C/30,449.14
100249,ADALAT-CC 30 MG CPR 10,COMPRIMIDO,50
100249,ADALAT-CC 30 MG CPR 10,CAJA C/10,240
100250,ADALAT-CC 30 MG CPR 30,COMPRIMIDO,69.86
100250,ADALAT-CC 30 MG CPR 30,CAJA C/30,524.77
100251,ADALAT-OROS 30 MG TAB 10,TABLETA,87.07
100251,ADALAT-OROS 30 MG TAB 10,CAJA C/10,326.77
100254,ADALAT-RETARD 20 MG CPR 28,COMPRIMIDO,48.1
100254,ADALAT-RETARD 20 MG CPR 28,CAJA C/28,337.2
100263,ADEKON AMP 5X3ML,AMPOLLETA,71.42
100263,ADEKON AMP 5X3ML,CAJA C/5,133.91
100266,ADEKON-C GTS 15 ML,GOTAS,164.8
100266,ADEKON-C GTS 15 ML,GOTAS,164.8
100268,ADEL 250 MG SUSP 60 ML,SUSPENSION,699.69
100268,ADEL 250 MG SUSP 60 ML,SUSPENSION,699.69
100271,ADEPSIQUE 10/3/2MG TAB 30,TABLETA,311.31
100271,ADEPSIQUE 10/3/2MG TAB 30,CAJA C/30,311.31
100282,ADEROGYL-C GTS 10 ML,GOTAS,188.32
100282,ADEROGYL-C GTS 10 ML,GOTAS,188.32
100283,ADIMOD 400MG/7ML SOLUCION(PIDOTIMOD),SOLUCION,628.52
100283,ADIMOD 400MG/7ML SOLUCION(PIDOTIMOD),SOLUCION,628.52
100311,ADVIL INF 2 G SUSP 120 ML,SUSPENSION,186.18
100311,ADVIL INF 2 G SUSP 120 ML,SUSPENSION,186.18
100316,AEROFLUX SOL 120 ML,SOLUCION,340.51
100316,AEROFLUX SOL 120 ML,SOLUCION,340.51
100317,AFAZOL GRIN 1.0/14.0MG SOL15ML,SOLUCION,182.85
100317,AFAZOL GRIN 1.0/14.0MG SOL15ML,SOLUCION,182.85
100332,AFRIN ADULTO SPRAY NASAL 50MG 20ML (OXIMETAZOLINA),FRASCO,202.68
100332,AFRIN ADULTO SPRAY NASAL 50MG 20ML (OXIMETAZOLINA),FRASCO,202.68
100333,AFRIN INF 25 MG SPY CZA 20 ML,SPRAY,176.13
100333,AFRIN INF 25 MG SPY CZA 20 ML,SPRAY,176.13
100334,AFRIN LUB ADULTO SPRAY NASAL 50 MG 20 ML (OXIMETAZOLINA),FRASCO,189.49
100334,AFRIN LUB ADULTO SPRAY NASAL 50 MG 20 ML (OXIMETAZOLINA),FRASCO,189.49
100337,AFRIN LUB INFANTIL SPRAY NASAL 25MG 20ML (OXIMETAZOLINA),FRASCO,203.92
100337,AFRIN LUB INFANTIL SPRAY NASAL 25MG 20ML (OXIMETAZOLINA),FRASCO,203.92
100345,AFRINEX 1.0/2.5/80 MG TAB 24,TABLETA,8.97
100345,AFRINEX 1.0/2.5/80 MG TAB 24,CAJA C/24,143.52
100346,AFRINEX EFX-12 30/6MG TAB 10,TABLETA,34.56
100346,AFRINEX EFX-12 30/6MG TAB 10,CAJA C/10,230.34
100349,AFUMIX 500MG CAJA C/4 TABS (FLUCONAZOL TINIDAZOL),TABLETA,183.78
100349,AFUMIX 500MG CAJA C/4 TABS (FLUCONAZOL TINIDAZOL),CAJA C/4,735.13
100350,AFUNGIL 100 MG CAPS 10 #534,CAPSULA,251.77
100350,AFUNGIL 100 MG CAPS 10 #534,CAJA C/10,"2,517.68"
100351,AFUNGIL 100MG SOL INY F.A. 2MG/ML C/50ML (FLUCONAZOL),FRASCO,"1,523.34"
100351,AFUNGIL 100MG SOL INY F.A. 2MG/ML C/50ML (FLUCONAZOL),FRASCO,"1,523.34"
100352,AFUNGIL 1+1 150MG CAPS (FLUCONAZOL),CAPSULA,501.59
100352,AFUNGIL 1+1 150MG CAPS (FLUCONAZOL),CAPSULA,501.59
100361,AGIOLAX GRAN 100 G,PIEZA,224.96
100361,AGIOLAX GRAN 100 G,PIEZA,224.96
100376,AGRIFEN 500/25/5/4MG TAB 10,TABLETA,10.58
100376,AGRIFEN 500/25/5/4MG TAB 10,CAJA C/10,105.77
100388,AGUA INY. FRASCO C/1000 ML (AGUA ESTERIL),FRASCO,75.51
100388,AGUA INY. FRASCO C/1000 ML (AGUA ESTERIL),FRASCO,75.51
100389,AGUA INY. FRASCO C/500 ML (AGUA ESTERIL),FRASCO,70.79
100389,AGUA INY. FRASCO C/500 ML (AGUA ESTERIL),FRASCO,70.79
100390,AGUA INYECTABLE 3000ML PARA IRRIGAR,FRASCO,247.64
100390,AGUA INYECTABLE 3000ML PARA IRRIGAR,FRASCO,247.64
100394,AGUA INY 10ML C/100 AMP. PLAS.,AMPOLLETA,14.17
100394,AGUA INY 10ML C/100 AMP. PLAS.,CAJA C/100,354.76
100412,AKATINOL 10 MG TAB 14,TABLETA,35.54
100412,AKATINOL 10 MG TAB 14,CAJA C/14,35.54
100434,ALBENDAZOL 200MG CAJA C/6 TABS [ALBENSIL],COMPRIMIDO,2.73
100434,ALBENDAZOL 200MG CAJA C/6 TABS [ALBENSIL],CAJA C/6,16.38
100445,ALBOTHYL 0.090 G OV 6,PIEZA,94.82
100445,ALBOTHYL 0.090 G OV 6,CAJA C/6,213.33
100448,ALBOTHYL SOL 12 ML,SOLUCION,173.89
100448,ALBOTHYL SOL 12 ML,SOLUCION,173.89
100449,ALBOTHYL-V 1 G SOL 200 ML,SOLUCION,147.39
100449,ALBOTHYL-V 1 G SOL 200 ML,SOLUCION,147.39
100452,ALBUMINA HUMANA 20% SOL INY C/50ML (SEROALBUMINA HUMANA),FRASCO,"1,029.60"
