code,name,udm,sell_price
LAB1078,VIRUS SINCITIAL RESPIRATORIO (VSR),,"1,129.58"
MAT222,CASTPADING 7CM  CMW03,,"1,381.88"
MATSER118,TORNILLO CORTICAL 3.5 x 12mm,,306.56
SER558,CORPECTOMIA VERTEBRAL PARCIAL O COMPLETA PARA EXCISION DE LESION INTRAMEDULAR; TORACICA POR VIA TRANSTORACICA,,"32,855.14"
LAB1063,TRIPSINOGENO,,"1,902.88"
110195,SIBILEX 7.5/2/1.5MG /5ML SOL FRASCO C/120ML (AMBROXOL/SALBUTAMOL/LORATADINA),MEDICAMENTO,268.74
112396,PIREMOL 300MG C/3 SUP,,72.05
101995,BUTILHIOS/BIOMESIN 10MG GRAG10,MEDICAMENTO,108.86
MAT194,CANASTILLA DORMIA NITINOL 4.5 FR X 65 CMS MCA COOK,,"4,414.41"
MAT123,BOLSA DE COLOSTOMIA COMPLETA C/4,,573.3
LAB987,RAST HORMIGA,,770.96
MATSER015,LENTE PARA ARTROSCOPIA,,"11,909.52"
MAT177,CALCIO,,"1,267.72"
SER1487,RESECCION EN CUÑA O BISECCION DE OVARIO UNILATERAL O BILATERAL,,"9,406.58"
111190,TORECAN AMP 6X1 ML,MEDICAMENTO,212.92
MATSER153,TORNILLO ROSCADO DE 2.4MM X 18MM,,"2,084.86"
MATLAB10006,Parafilm 10cm x 38 mts pelicula de polyolefine,,
MAT1523,SOPORTE PARA MUÑECA IZQUIERDA EN NEOPRENO-MD SMNI-MD,,238.06
SER1782,PINZA LIGASURE,,"6,000.00"
PQEM028,PAQUETE ADMISIÓN STUCKI,,520
MAT1067,TELA MICROPOROSA 1 PULG,,59.24
LAB331,BIOPSIA DE COLON Y RECTO MULTIPLE ENDOSCOPICA,,"1,219.71"
MAT373,CUCHILLA P/RASURADOR 2.5 REF 275-628-000,,"2,129.40"
103899,ECTAPRIM 800/4000 MG SUSP 120 ML,MEDICAMENTO,225.34
PQCE005,PAQUETE GINECOLOGICO GINE-ECO VAGINAL,,312
101297,AUGMENTIN ES600/42.9MG 50ML  423,MEDICAMENTO,320.08
LAB1045,TINTA CHINA TINCION DE,,210.27
111559,UTROGESTAN 200 MG PERLAS 14,MEDICAMENTO,689.21
PQAS005-11062015,PAQUETE MEDICAVIAL 1ERA VEZ,,"1,248.00"
PQAS004-20042015,PAQUETE ABA SUBSECUENTE,,0
LAB507,CITOLOGIA ENDOCERVICAL,,223.11
113199,PANCLASA (FLOROGLUCINOL/TRIMETILFLOROGLUCINOL) CAPS 80MG/80MG,MEDICAMENTO,172.74
